Ships,Geometry,X co-ordinate,Y co-ordinate,Latitude,Longitude,Width,Length,Category,ID
target_198,POINT (4252 7278),4252,7278,22.811194460687453,70.00199856107415,220.0,100.0,Passenger_ship,49
target_199,POINT (4077 7308),4077,7308,22.80549925649397,70.01818785361421,200.0,140.0,Passenger_ship,50
target_200,POINT (4371 7435),4371,7435,22.799035935704218,69.98773554872079,160.0,140.0,Passenger_ship,51
target_209,POINT (15437 7366),15437,7366,22.990550637048358,68.92914918744593,40.0,40.0,Tugs_ship,52
target_210,POINT (4163 7497),4163,7497,22.789934848857502,70.00648065759388,80.0,90.0,Passenger_ship,53
target_211,POINT (4207 7816),4207,7816,22.76183097420537,69.99630225063792,80.0,80.0,Passenger_ship,54
target_212,POINT (4259 7875),4259,7875,22.75738952480875,69.9902276413597,180.0,180.0,Passenger_ship,55
target_213,POINT (3385 7524),3385,7524,22.77419347992458,70.08036928474029,220.0,190.0,Passenger_ship,56
target_214,POINT (6813 7889),6813,7889,22.799571416230265,69.74575835555665,50.0,70.0,Passenger_ship,57
target_215,POINT (3600 7525),3600,7525,22.777776966908124,70.05984243434686,210.0,110.0,Passenger_ship,58
target_216,POINT (3890 7552),3890,7552,22.78030364826035,70.03161002152801,250.0,110.0,Passenger_ship,59
target_217,POINT (3924 7752),3924,7752,22.762775887840863,70.02460812128615,190.0,200.0,Cargo_or_Tanker_ship,60
target_221,POINT (21201 7741),21201,7741,23.050411274262853,68.36938142687907,40.0,60.0,Passenger_ship,62
target_222,POINT (21174 7811),21174,7811,23.043701302360965,68.37079930410823,50.0,90.0,Passenger_ship,63
target_223,POINT (3356 7978),3356,7978,22.73269365731348,70.07463415652532,60.0,50.0,Tugs_ship,64
target_224,POINT (3288 7982),3288,7982,22.731159002764148,70.08110645884547,50.0,50.0,Tugs_ship,65
target_226,POINT (3410 8259),3410,8259,22.708186438247203,70.06424632385878,50.0,40.0,Tugs_ship,67
target_228,POINT (1629 8016),1629,8016,22.69955465173903,70.2389970050775,70.0,100.0,Passenger_ship,68
target_229,POINT (6892 8177),6892,8177,22.774910854557962,69.73282006201059,20.0,50.0,Tugs_ship,69
target_230,POINT (6887 8224),6887,8224,22.770537333306688,69.7324189235277,40.0,40.0,Tugs_ship,70
target_231,POINT (3562 8216),3562,8216,22.714727637828478,70.05048756060738,220.0,190.0,Passenger_ship,71
target_232,POINT (3758 8248),3758,8248,22.71515016738679,70.0311484373576,240.0,160.0,Passenger_ship,72
